target,session_id,phase,phase_hours,norm_flux,bjd_tdb
HATP-10,HATP-10__2026-09-05,-0.0009713466949961003,-0.0867794143613312,0.986939947615892,2461288.901600191
HATP-10,HATP-10__2026-09-05,-0.0007026832984138309,-0.0627772199483168,1.0051547843417603,2461288.9026002823
HATP-10,HATP-10__2026-09-05,-0.00043402002711445675,-0.038775036727986045,1.0084548948303649,2461288.9036003733
HATP-10,HATP-10__2026-09-05,0.00010330676582270826,0.009229352077729364,1.0084897036294844,2461288.905600556
HATP-10,HATP-10__2026-09-05,0.0003719700373494561,0.033231535318373515,0.9961556286155138,2461288.906600647
HATP-10,HATP-10__2026-09-05,0.0006406334337043518,0.05723372971107452,0.9859747137473993,2461288.9076007386
HATP-10,HATP-10__2026-09-05,0.0009092967052310996,0.08123591295171867,0.987560165364779,2461288.9086008295
HATP-10,HATP-10__2026-09-05,0.0011779601015859953,0.10523810734441968,1.003482620621431,2461288.909600921
HATP-10,HATP-10__2026-09-05,0.0017152867694676388,0.15324248497776483,1.0532166280166686,2461288.9116011034
HATP-10,HATP-10__2026-09-05,0.0019839500409943867,0.17724466821840898,0.9679423691683819,2461288.9126011943
HATP-10,HATP-10__2026-09-05,0.0022526134373492823,0.20124686261111002,1.0082324601448933,2461288.913601286
HATP-10,HATP-10__2026-09-05,0.00252127670887603,0.22524904585175415,0.9972491786406998,2461288.9146013767
HATP-10,HATP-10__2026-09-05,0.002789940105230926,0.24925124024445516,0.9972847800024174,2461288.915601468
HATP-10,HATP-10__2026-09-05,0.0033272667731125694,0.2972556178778003,1.0,2461288.9176016506
HATP-10,HATP-10__2026-09-05,0.003595930044639317,0.32125780111844443,1.0133097693035615,2461288.9186017415
HATP-10,HATP-10__2026-09-05,0.003864593440994213,0.3452599955111455,0.9813987608349043,2461288.919601833
HATP-10,HATP-10__2026-09-05,0.004133256712520961,0.36926217875178957,0.9910340719684291,2461288.920601924
HATP-10,HATP-10__2026-09-05,0.004401919983820335,0.3932643619721204,0.9965977484641533,2461288.921602015
HATP-10,HATP-10__2026-09-05,0.004939246651701978,0.44126873960546553,0.9824511611510433,2461288.9236021973
HATP-10,HATP-10__2026-09-05,0.005207909923001353,0.4652709228257963,1.0098581523425258,2461288.9246022883
HATP-10,HATP-10__2026-09-05,0.005476573319583622,0.48927311723881073,1.0010555152687133,2461288.9256023797
HATP-10,HATP-10__2026-09-05,0.005745236590882996,0.5132753004591414,1.0028613565223834,2461288.9266024707
HATP-10,HATP-10__2026-09-05,0.006013899862409744,0.5372774836997856,1.008902387934646,2461288.9276025617
HATP-10,HATP-10__2026-09-05,0.0065512265302913875,0.5852818613331308,0.9899948977369597,2461288.929602744
HATP-10,HATP-10__2026-09-05,0.006819889801590762,0.6092840445534615,0.9982595910179072,2461288.930602835
HATP-10,HATP-10__2026-09-05,0.0070885530731175095,0.6332862277941056,1.0076948967740407,2461288.931602926
HATP-10,HATP-10__2026-09-05,0.007357216344416884,0.6572884110144364,1.002372132206989,2461288.932603017
HATP-10,HATP-10__2026-09-05,0.007625879740999153,0.6812906054274508,0.9930339782306773,2461288.9336031084
HATP-10,HATP-10__2026-09-05,0.008163206283825275,0.7292949718884256,1.0004064462051843,2461288.9356032903
HATP-10,HATP-10__2026-09-05,0.00843186955512465,0.7532971551087564,0.9973847982658555,2461288.9366033813
HATP-10,HATP-10__2026-09-05,0.008700532826424023,0.7772993383290873,0.9948303161779375,2461288.9376034723
HATP-10,HATP-10__2026-09-05,0.008969196097950771,0.8013015215697314,1.0450857179685487,2461288.9386035632
HATP-10,HATP-10__2026-09-05,0.009506522640776893,0.8493058880307063,1.0058108370687517,2461288.940603745
HATP-10,HATP-10__2026-09-05,0.009775185912076267,0.873308071251037,1.0231545406266596,2461288.941603836
HATP-10,HATP-10__2026-09-05,0.010043849308658537,0.8973102656640515,1.0154043783434885,2461288.9426039276
HATP-10,HATP-10__2026-09-05,0.010312512579957911,0.9213124488843821,1.0289353274090502,2461288.9436040185
HATP-10,HATP-10__2026-09-05,0.010581175851257285,0.945314632104713,1.0108792098178154,2461288.9446041095
HATP-10,HATP-10__2026-09-05,0.011118502394083407,0.9933189985656878,1.012440186344569,2461288.9466042914
HATP-10,HATP-10__2026-09-05,0.011387165665610155,1.017321181806332,1.0270221370796084,2461288.9476043824
HATP-10,HATP-10__2026-09-05,0.011655828811854008,1.0413233538542925,1.001988369821737,2461288.948604473
HATP-10,HATP-10__2026-09-05,0.01219315535468013,1.0893277203152674,0.985530003949466,2461288.950604655
HATP-10,HATP-10__2026-09-05,0.012730481897506252,1.1373320867762424,1.008028587649868,2461288.952604837
HATP-10,HATP-10__2026-09-05,0.013267808440105,1.1853364532169037,1.0084386565456485,2461288.9546050187
HATP-10,HATP-10__2026-09-05,0.0138051348578756,1.2333408085055084,1.0191640608126509,2461288.9566052
HATP-10,HATP-10__2026-09-05,0.014342461400701723,1.2813451749664835,1.0071298671239153,2461288.958605382
HATP-10,HATP-10__2026-09-05,0.015148451089771697,1.3533517134754187,1.0084818161948477,2461288.9616056546
HATP-10,HATP-10__2026-09-05,0.01568577763259782,1.4013560799363938,0.98531899185536,2461288.9636058365
HATP-10,HATP-10__2026-09-05,0.016223104050141046,1.449360435204685,0.996127121380143,2461288.965606018
HATP-10,HATP-10__2026-09-05,0.016760430467911647,1.4973647904932896,1.0118844158668034,2461288.9676061994
HATP-10,HATP-10__2026-09-05,0.01729775701073777,1.5453691569542647,1.015311937896431,2461288.9696063814
HATP-10,HATP-10__2026-09-05,0.01783508342850837,1.5933735122428692,1.0074475430919152,2461288.971606563
HATP-10,HATP-10__2026-09-05,0.018372409846051596,1.6413778675111605,1.0111556437853944,2461288.9736067443
HATP-10,HATP-10__2026-09-05,0.018909736263822197,1.689382222799765,1.0049728752260398,2461288.975606926
HATP-10,HATP-10__2026-09-05,0.019447062681592797,1.7373865780883697,1.0072571742516923,2461288.9776071073
HATP-10,HATP-10__2026-09-05,0.019984389099136024,1.785390933356661,1.0936920154000227,2461288.9796072887
HATP-10,HATP-10__2026-09-05,0.020521715516906625,1.8333952886452656,0.9924095253498456,2461288.98160747
HATP-10,HATP-10__2026-09-05,0.02105904180939433,1.8813996327411866,0.9825054942658711,2461288.983607651
HATP-10,HATP-10__2026-09-05,0.021865031373408783,1.953406160077752,0.9962510348685142,2461288.986607923
HATP-10,HATP-10__2026-09-05,0.022402357791179384,2.0014105153663566,1.0167347208831925,2461288.9886081046
HATP-10,HATP-10__2026-09-05,0.022939684208949984,2.049414870654961,1.0242006824900016,2461288.990608286
HATP-10,HATP-10__2026-09-05,0.02347701050143769,2.0974192147508823,1.06676483464673,2461288.992608467
HATP-10,HATP-10__2026-09-05,0.02401433691920829,2.145423570039487,1.0250094687187963,2461288.9946086486
HATP-10,HATP-10__2026-09-05,0.024551663211695995,2.1934279141354076,0.976733444273767,2461288.9966088296
HATP-10,HATP-10__2026-09-05,0.025088989504411074,2.241432258251642,0.9877838899437805,2461288.9986090106
HATP-10,HATP-10__2026-09-05,0.02562631579689878,2.289436602347563,0.9970675457765322,2461289.0006091916
HATP-10,HATP-10__2026-09-05,0.02616364221466938,2.337440957636168,1.0082873622122408,2461289.002609373
HATP-10,HATP-10__2026-09-05,0.026700968507157086,2.385445301732089,1.0149568979228298,2461289.004609554
HATP-10,HATP-10__2026-09-05,0.027238294799872165,2.4334496458483232,1.0573374008357053,2461289.006609735
HATP-10,HATP-10__2026-09-05,0.02777562109235987,2.481453989944244,1.0022358654310672,2461289.008609916
Qatar-1,Qatar-1__2026-08-18,-0.0537219839447971,-1.8308764145669607,1.0279390234680934,2461270.8527688826
