target,phase_hours,flux,err,n,n_nights
TRES-3,-0.5250000000000015,0.9956122873230666,0.010246045432624602,12,4
TRES-3,-0.37500000000000155,1.0115342702620747,0.014158443705843411,12,4
TRES-3,-0.22500000000000164,0.9973613330696538,0.009405000517058342,12,4
TRES-3,-0.07500000000000173,1.0262192661435794,0.05316575958719484,12,4
TRES-3,0.07499999999999818,1.0020747385314503,0.007511555494758362,12,4
TRES-3,0.2249999999999981,0.997724120914412,0.003989559095649752,12,4
TRES-3,0.374999999999998,1.005987135573462,0.08100650612680936,12,4
TRES-3,0.5249999999999979,0.9983469382516371,0.02470838399663891,12,4
TRES-3,0.6749999999999978,1.0136182132889147,0.0053037132602656014,10,4
TRES-3,0.8249999999999977,0.9935033436446898,0.012629649911738965,12,4
TRES-3,0.9749999999999974,0.9997381119796389,0.0042821904030600775,9,3
TRES-3,1.1249999999999973,0.9964784975480128,0.00743818686475619,9,3
TRES-3,1.2749999999999977,1.0043798091731377,0.003062724108426985,8,3
TRES-3,1.4249999999999976,0.9962571653987052,0.006548933967358256,8,3
TRES-3,1.574999999999997,0.9990906971943394,0.005376405512296229,8,3
TRES-3,1.724999999999997,1.002110692623017,0.008786232227728268,7,3
TRES-3,1.8749999999999973,0.9867080662130543,0.003292827449534302,5,3
TRES-5,-1.8750000000000007,1.0742733884168918,0.043555135071010706,4,4
TRES-5,-1.7250000000000008,1.0074185980605113,0.0048813694615635695,12,5
TRES-5,-1.5750000000000008,1.0063965877296788,0.006701874965100598,16,5
TRES-5,-1.425000000000001,1.001726710187644,0.004174831795403828,22,6
TRES-5,-1.275000000000001,0.9997914236906394,0.004665117357353385,20,6
TRES-5,-1.125000000000001,1.0028624204776075,0.0065510520458664165,17,6
TRES-5,-0.9750000000000012,1.0036571720603442,0.0037340376894985255,18,6
TRES-5,-0.8250000000000013,0.9993148824623226,0.003203782404857886,19,6
TRES-5,-0.6750000000000014,1.0041364916414068,0.003936827798999327,18,6
TRES-5,-0.5250000000000015,1.0029959775530428,0.011247025251874739,17,6
TRES-5,-0.37500000000000155,1.0010036449811168,0.03157218082878549,17,6
TRES-5,-0.22500000000000164,1.0039393307485285,0.062492337927352495,18,6
TRES-5,-0.07500000000000173,1.0017498785010042,0.005986247701462685,18,6
TRES-5,0.07499999999999818,0.9972738372244884,0.0042449019083026784,17,6
TRES-5,0.2249999999999981,0.9973819755044451,0.0027343387376445147,18,6
TRES-5,0.374999999999998,1.000119047353482,0.009608845453973721,19,6
TRES-5,0.5249999999999979,0.9944646977930223,0.002728836551707805,18,6
TRES-5,0.6749999999999978,0.9947178875399544,0.004855683092584221,17,6
TRES-5,0.8249999999999977,0.9954932690322751,0.006995481813318255,16,6
TRES-5,0.9749999999999974,0.9993439291023517,0.004249451673566133,15,5
TRES-5,1.1249999999999973,0.99520375631183,0.004732931316725703,12,4
TRES-5,1.2749999999999977,0.9944588201688269,0.0034884375319773056,10,4
TRES-5,1.4249999999999976,0.9972335891652782,0.0026875553262131506,13,4
TRES-5,1.574999999999997,0.9970590814259932,0.01537799561875518,13,4
TRES-5,1.724999999999997,1.0038545811560415,0.017811017405538653,10,4
WASP-2,-0.22500000000000164,1.5496235557808928,0.13101836211650872,3,1
WASP-2,-0.07500000000000173,1.5784119677762087,0.03405621613536677,3,1
WASP-2,0.07499999999999818,1.2571362763487401,0.05130598595950754,3,1
WASP-2,0.2249999999999981,1.0565591600379245,0.009087867514340072,3,1
WASP-2,0.374999999999998,1.107599522323096,0.15855487872659849,3,1
WASP-2,0.5249999999999979,0.9082962882603295,0.04736733697056263,3,1
WASP-2,0.6749999999999978,0.9969185552300035,0.046380180493329086,3,1
WASP-2,0.8249999999999977,0.8760135697989094,,3,1
WASP-2,1.1249999999999973,0.6405269132408947,0.12537733425119837,3,1
WASP-2,1.4249999999999976,0.8326299493980471,0.005739446054721496,3,1
WASP-2,1.574999999999997,1.0,0.09369135549166874,3,1
WASP-2,1.724999999999997,1.2154106510345122,0.1883183860574512,3,1
WASP-2,1.8749999999999973,1.0107984349590373,0.027916915432700612,3,1
WASP-2,2.0249999999999972,1.056677579721962,0.06328036706637674,3,1
WASP-2,2.1749999999999967,0.8670563389593003,0.012047635921450911,3,1
WASP-2,2.474999999999997,0.8565974390009827,0.040788512981251676,3,1
WASP-2,2.7749999999999964,0.9122179631299541,0.11222980975932123,3,1
WASP-2,2.9249999999999963,0.9173832786462536,,3,1
