session_id,frame_index,target_x,target_y,target_flux,target_sky,comp_flux_sum,n_comps_ok,t_utc,MJD-OBS,airmass,TELALT,WEATHER,sky_level,CAMTEMP,target,rel_flux,norm_flux,target_only_norm,bjd_tdb
CoRoT-2__2026-08-09,45,382.17476116567155,191.51902521714294,12758.0,37.0,87002.5,8,2026-08-09 07:33:16.870000+00:00,61261.315,1.3099652114749598,49.763,100,406.0,279.0,CoRoT-2,0.14663946438320738,0.9991088754142214,1.0058539469794028,2461261.820810357
CoRoT-2__2026-08-09,46,382.78073824175016,199.51875425689425,12500.0,31.0,85148.0,8,2026-08-09 07:36:16.378000+00:00,61261.317,1.3191660846330364,49.293,100,406.0,281.0,CoRoT-2,0.14680321322873116,1.0002245568277466,0.9855129594954174,2461261.822810286
CoRoT-2__2026-08-09,47,383.16856879236616,197.71335679993055,12871.0,31.0,86699.0,8,2026-08-09 07:39:16.063000+00:00,61261.319,1.328749453144013,48.815,100,406.0,281.0,CoRoT-2,0.1484561528968039,1.0114866457875098,1.0147629841332413,2461261.824810215
CoRoT-2__2026-08-09,48,383.23960552268244,198.30074950690334,12890.0,36.0,87731.0,8,2026-08-09 07:42:15.677000+00:00,61261.321,1.338670880912206,48.332,100,405.0,279.0,CoRoT-2,0.14692640001823756,1.001063873960057,1.0162609638316744,2461261.826810144
CoRoT-2__2026-08-09,49,382.5635805102878,200.30121595280445,12592.0,33.0,84951.0,8,2026-08-09 07:45:15.398000+00:00,61261.323,1.348987352885567,47.842,100,406.0,280.0,CoRoT-2,0.14822662476015586,1.009922785748557,0.9927663348773036,2461261.8288100725
CoRoT-2__2026-08-09,50,386.0639975869286,197.08470332576152,12668.0,33.0,85713.0,8,2026-08-09 07:48:17.139000+00:00,61261.325,1.359761030007806,47.343,100,406.0,280.0,CoRoT-2,0.14779555026658733,1.0069857158792652,0.9987582536710358,2461261.8308100016
CoRoT-2__2026-08-09,51,387.7829348929939,199.2730853233405,12647.0,33.0,86433.0,8,2026-08-09 07:51:15.728000+00:00,61261.327,1.370812993003116,46.844,100,405.0,280.0,CoRoT-2,0.1463214281582266,0.9969419770528692,0.9971025918990835,2461261.83280993
CoRoT-2__2026-08-09,52,385.42276161388844,193.86617907088893,12417.0,30.0,85791.0,8,2026-08-09 07:54:15.413000+00:00,61261.329,1.3823359492694305,46.337,100,405.0,281.0,CoRoT-2,0.14473546176172325,0.9861362017486553,0.9789691534443677,2461261.834809859
CoRoT-2__2026-08-09,53,389.52403423178436,197.8769895225146,12743.0,33.0,84707.0,8,2026-08-09 07:57:16.997000+00:00,61261.331,1.394377149900312,45.821,100,405.0,280.0,CoRoT-2,0.15043620952223546,1.0249775034949657,1.0046713314280082,2461261.8368097874
CoRoT-2__2026-08-09,54,389.73999145033144,193.07471211736723,12750.0,33.0,86356.0,8,2026-08-09 08:00:15.527000+00:00,61261.334,1.4067207758853342,45.306,100,406.0,280.0,CoRoT-2,0.14764463384130808,1.0059574664883082,1.0052232186853256,2461261.839809681
