target,session_id,track_id,n_points,depth_pct,significance_sigma,median_flux,rms_ppt,expected_depth_pct,n_field_stars,field_p_value,field_sigma_95,field_sigma_median,depth_ratio
CoRoT-2,CoRoT-2__2026-08-16,999,84,2.4348137430090366,2.2475692817488127,743.0,52.800157315936566,2.75,263,0.057034220532319393,2.2539087962604873,0.39203035471863035,0.8853868156396497
CoRoT-2,CoRoT-2__2026-08-16,855,82,3.07794515836213,2.243010475299715,621.25,65.6541943937051,2.75,263,0.060836501901140684,2.2539087962604873,0.39203035471863035,1.1192527848589562
CoRoT-2,CoRoT-2__2026-08-09,782,84,1.9699139617168175,2.2429899515746876,761.25,41.96606541356138,2.75,282,0.07092198581560284,2.345843003162465,0.2578296935627411,0.7163323497152064
CoRoT-2,CoRoT-2__2026-08-16,356,85,2.498632073650618,2.2352049528706677,721.5,54.806285123505965,2.75,263,0.06463878326996197,2.2539087962604873,0.39203035471863035,0.9085934813274974
CoRoT-2,CoRoT-2__2026-08-09,735,86,1.9715670341107112,2.1939544556886035,970.75,43.413185954368515,2.75,282,0.07446808510638298,2.345843003162465,0.2578296935627411,0.7169334669493496
CoRoT-2,CoRoT-2__2026-08-16,726,85,2.0143298129198977,2.1731412934824625,952.5,45.64718678803588,2.75,263,0.06844106463878327,2.2539087962604873,0.39203035471863035,0.7324835683345082
CoRoT-2,CoRoT-2__2026-08-16,1028,85,0.7096344381257381,2.1636127149726314,2952.0,15.950771781471834,2.75,263,0.07224334600760456,2.2539087962604873,0.39203035471863035,0.2580488865911775
CoRoT-2,CoRoT-2__2026-08-16,732,69,5.9701506089264536,2.1538660494748707,1129.0,125.19496134498151,2.75,263,0.07604562737642585,2.2539087962604873,0.39203035471863035,2.170963857791438
CoRoT-2,CoRoT-2__2026-08-09,894,85,1.3497697251435226,2.147478619903431,1251.0,29.891215826662563,2.75,282,0.07801418439716312,2.345843003162465,0.2578296935627411,0.4908253545976446
CoRoT-2,CoRoT-2__2026-08-16,943,84,3.0744569449670833,2.0490111892115412,808.5,70.90122689155596,2.75,263,0.07984790874524715,2.2539087962604873,0.39203035471863035,1.117984343624394
CoRoT-2,CoRoT-2__2026-08-16,1034,75,4.244035148312989,2.0476325963111552,806.5,96.9081016667888,2.75,263,0.08365019011406843,2.2539087962604873,0.39203035471863035,1.5432855084774504
CoRoT-2,CoRoT-2__2026-08-16,929,83,2.321345622602239,2.0278105068430925,1181.0,53.98202105694135,2.75,263,0.08745247148288973,2.2539087962604873,0.39203035471863035,0.8441256809462687
CoRoT-2,CoRoT-2__2026-08-09,608,84,2.488729027553932,2.0265690216161447,608.0,58.60308237894539,2.75,282,0.08156028368794327,2.345843003162465,0.2578296935627411,0.9049923736559754
CoRoT-2,CoRoT-2__2026-08-16,984,85,1.981270855618476,2.012084770779841,911.0,48.14850430697445,2.75,263,0.09125475285171103,2.2539087962604873,0.39203035471863035,0.7204621293158094
CoRoT-2,CoRoT-2__2026-08-16,836,85,1.9705563090689941,1.9722158168306296,905.0,48.569121376388004,2.75,263,0.09505703422053231,2.2539087962604873,0.39203035471863035,0.7165659305705433
CoRoT-2,CoRoT-2__2026-08-16,990,85,1.0313543559955123,1.937771338109452,2697.5,25.97481845307936,2.75,263,0.09885931558935361,2.2539087962604873,0.39203035471863035,0.37503794763473175
CoRoT-2,CoRoT-2__2026-08-16,685,84,3.1604797224046797,1.934024020693136,525.5,79.33659701929912,2.75,263,0.10266159695817491,2.2539087962604873,0.39203035471863035,1.1492653536017017
CoRoT-2,CoRoT-2__2026-08-09,286,86,0.7911463206017256,1.9301124116840074,1886.0,19.667991250215042,2.75,282,0.0851063829787234,2.345843003162465,0.2578296935627411,0.2876895711279002
CoRoT-2,CoRoT-2__2026-08-16,851,85,0.6921813437258271,1.9236867813950964,4510.0,17.505229949653835,2.75,263,0.10646387832699619,2.2539087962604873,0.39203035471863035,0.25170230680939165
CoRoT-2,CoRoT-2__2026-08-09,220,84,1.7190372713068103,1.908242090304672,913.0,42.668755697000904,2.75,282,0.08865248226950355,2.345843003162465,0.2578296935627411,0.6251044622933856
