track_id,x_first,y_first,median_flux,max_peak,persistence,session_id,in_ensemble,rms_ppt,n_points
123,297.0318181818182,134.63636363636363,207.2030029296875,601.0,1.0,TRES-5__2026-08-26,False,69.2452055673988,74
124,224.1778523489933,138.06040268456377,317.5,609.0,1.0,TRES-5__2026-08-26,False,76.49671891618945,74
125,317.50773206908406,138.9574963194521,197.4017333984375,591.0,1.0,TRES-5__2026-08-26,False,99.46474231428316,74
127,79.81632653061224,139.69387755102042,171.17431640625,587.0,0.9864864864864865,TRES-5__2026-08-26,False,108.05039505720583,73
128,143.8589847530594,139.70577803246644,216.73873901367188,660.0,1.0,TRES-5__2026-08-26,False,95.29924778782608,74
130,436.72450376231944,148.08853875233225,110019.5514831543,4095.0,1.0,TRES-5__2026-08-26,False,29.281427983448758,74
131,20.443402126328955,146.89521468158978,44036.83572387695,4095.0,1.0,TRES-5__2026-08-26,False,36.370105804464316,74
132,124.80871413390011,145.5441020191286,1781.1849670410156,765.0,1.0,TRES-5__2026-08-26,False,16.64329896347908,74
135,497.0073727225862,149.84473750696344,2306.855987548828,3051.0,1.0,TRES-5__2026-08-26,False,17.8823877542411,74
136,184.99372384937237,151.09623430962344,489.73565673828125,642.0,1.0,TRES-5__2026-08-26,False,67.03809432458685,74
138,477.1340487150977,153.87476760045737,2140.9749755859375,822.0,1.0,TRES-5__2026-08-26,False,17.483580405396687,74
140,90.45980707395498,158.20377813504822,2479.441162109375,961.0,1.0,TRES-5__2026-08-26,False,15.031842556271293,74
141,139.31374496463386,157.2279759952183,985.5,719.0,1.0,TRES-5__2026-08-26,False,36.63639595528814,74
142,126.09956395348837,158.60392441860466,1355.0555419921875,764.0,1.0,TRES-5__2026-08-26,False,24.193576493543134,74
143,165.5358450021108,160.8201301603701,2713.0,964.0,1.0,TRES-5__2026-08-26,False,14.132493661454358,74
144,289.92479489516865,161.40474020054694,2155.842559814453,880.0,1.0,TRES-5__2026-08-26,False,16.72179854574421,74
